Destination,Year,Migrating from the country
Brazil,2020 Females,1222472
British Virgin Islands,2015 Combined,5118
British Virgin Islands,2020 Combined,5355
British Virgin Islands,2015 Males,2245
British Virgin Islands,2020 Males,2343
British Virgin Islands,2015 Females,2873
British Virgin Islands,2020 Females,3012
Brunei Darussalam,2015 Combined,45278
Brunei Darussalam,2020 Combined,45521
Brunei Darussalam,2015 Males,26012
Brunei Darussalam,2020 Males,25843
Brunei Darussalam,2015 Females,19266
Brunei Darussalam,2020 Females,19678
Bulgaria,2015 Combined,1180629
Bulgaria,2020 Combined,1684159
Bulgaria,2015 Males,497229
Bulgaria,2020 Males,693430
Bulgaria,2015 Females,683400
Bulgaria,2020 Females,990729
Burkina Faso,2015 Combined,1518609
Burkina Faso,2020 Combined,1599389
Burkina Faso,2015 Males,848856
Burkina Faso,2020 Males,894354
Burkina Faso,2015 Females,669753
Burkina Faso,2020 Females,705035
Burundi,2015 Combined,460004
Burundi,2020 Combined,551132
Burundi,2015 Males,227751
Burundi,2020 Males,274940
Burundi,2015 Females,232253
Burundi,2020 Females,276192
Cabo Verde,2015 Combined,172979
Cabo Verde,2020 Combined,189239
Cabo Verde,2015 Males,77361
Cabo Verde,2020 Males,85782
Cabo Verde,2015 Females,95618
Cabo Verde,2020 Females,103457
Cambodia,2015 Combined,1074625
Cambodia,2020 Combined,1104874
Cambodia,2015 Males,505749
Cambodia,2020 Males,513037
Cambodia,2015 Females,568876
Cambodia,2020 Females,591837
Cameroon,2015 Combined,349195
Cameroon,2020 Combined,441249
Cameroon,2015 Males,172006
Cameroon,2020 Males,219528
Cameroon,2015 Females,177189
Cameroon,2020 Females,221721
Canada,2015 Combined,1278025
Canada,2020 Combined,1310438
Canada,2015 Males,487597
Canada,2020 Males,510029
Canada,2015 Females,790428
Canada,2020 Females,800409
Cayman Islands,2015 Combined,1709
Cayman Islands,2020 Combined,1908
Cayman Islands,2015 Males,796
Cayman Islands,2020 Males,863
Cayman Islands,2015 Females,913
Cayman Islands,2020 Females,1045
Central African Republic,2015 Combined,686303
Central African Republic,2020 Combined,816752
Central African Republic,2015 Males,348130
Central African Republic,2020 Males,409545
Central African Republic,2015 Females,338173
Central African Republic,2020 Females,407207
Chad,2015 Combined,191269
Chad,2020 Combined,222303
Chad,2015 Males,104493
Chad,2020 Males,119894
Chad,2015 Females,86776
Chad,2020 Females,102409
Channel Islands,2015 Combined,16469
Channel Islands,2020 Combined,17158
Channel Islands,2015 Males,8292
Channel Islands,2020 Males,8836
Channel Islands,2015 Females,8177
Channel Islands,2020 Females,8322
Chile,2015 Combined,896925
Chile,2020 Combined,936522
Chile,2015 Males,425559
Chile,2020 Males,449429
Chile,2015 Females,471366
Chile,2020 Females,487093
China,2015 Combined,10337633
China,2020 Combined,10581696
China,2015 Males,4826183
China,2020 Males,4841601
China,2015 Females,5511450
China,2020 Females,5740095
"China, Hong Kong SAR",2015 Combined,957987
"China, Hong Kong SAR",2020 Combined,1008454
"China, Hong Kong SAR",2015 Males,491402
"China, Hong Kong SAR",2020 Males,516498
"China, Hong Kong SAR",2015 Females,466585
"China, Hong Kong SAR",2020 Females,491956
"China, Macao SAR",2015 Combined,133296
"China, Macao SAR",2020 Combined,145192
"China, Macao SAR",2015 Males,60363
"China, Macao SAR",2020 Males,64597
"China, Macao SAR",2015 Females,72933
"China, Macao SAR",2020 Females,80595
"China, Taiwan Province of China",2015 Combined,0
"China, Taiwan Province of China",2020 Combined,0
"China, Taiwan Province of China",2015 Males,0
"China, Taiwan Province of China",2020 Males,0
"China, Taiwan Province of China",2015 Females,0
"China, Taiwan Province of China",2020 Females,0
Colombia,2015 Combined,3967537
Colombia,2020 Combined,4353889
Colombia,2015 Males,1850822
Colombia,2020 Males,2023498
Colombia,2015 Females,2116715
Colombia,2020 Females,2330391
Comoros,2015 Combined,121749
Comoros,2020 Combined,150823
Comoros,2015 Males,59176
Comoros,2020 Males,73002
Comoros,2015 Females,62573
Comoros,2020 Females,77821
Congo,2015 Combined,204973
Congo,2020 Combined,223914
Congo,2015 Males,102397
Congo,2020 Males,113568
Congo,2015 Females,102576
Congo,2020 Females,110346
Cook Islands,2015 Combined,21555
Cook Islands,2020 Combined,21106
Cook Islands,2015 Males,10691
Cook Islands,2020 Males,10453
Cook Islands,2015 Females,10864
Cook Islands,2020 Females,10653
Costa Rica,2015 Combined,142809
Costa Rica,2020 Combined,155571
Costa Rica,2015 Males,61328
Costa Rica,2020 Males,66816
Costa Rica,2015 Females,81481
Costa Rica,2020 Females,88755
Croatia,2015 Combined,808519
Croatia,2020 Combined,1041926
Croatia,2015 Males,376889
Croatia,2020 Males,496766
Croatia,2015 Females,431630
Croatia,2020 Females,545160
Cuba,2015 Combined,1530665
Cuba,2020 Combined,1818717
Cuba,2015 Males,715717
Cuba,2020 Males,857485
Cuba,2015 Females,814948
Cuba,2020 Females,961232
Curaçao,2015 Combined,7125
Curaçao,2020 Combined,8473
Curaçao,2015 Males,3562
Curaçao,2020 Males,4206
Curaçao,2015 Females,3563
Curaçao,2020 Females,4267
Cyprus,2015 Combined,166650
Cyprus,2020 Combined,173271
Cyprus,2015 Males,79139
Cyprus,2020 Males,83043
Cyprus,2015 Females,87511
Cyprus,2020 Females,90228
Czechia,2015 Combined,822926
Czechia,2020 Combined,1029391
Czechia,2015 Males,354777
Czechia,2020 Males,437819
Czechia,2015 Females,468149
Czechia,2020 Females,591572
Côte d'Ivoire,2015 Combined,1056773
Côte d'Ivoire,2020 Combined,1149723
Côte d'Ivoire,2015 Males,521196
Côte d'Ivoire,2020 Males,571531
Côte d'Ivoire,2015 Females,535577
Côte d'Ivoire,2020 Females,578192
Dem. People's Republic of Korea,2015 Combined,104711
Dem. People's Republic of Korea,2020 Combined,111294
Dem. People's Republic of Korea,2015 Males,55389
Dem. People's Republic of Korea,2020 Males,58712
Dem. People's Republic of Korea,2015 Females,49322
Dem. People's Republic of Korea,2020 Females,52582
Democratic Republic of the Congo,2015 Combined,1574219
Democratic Republic of the Congo,2020 Combined,1836447
Democratic Republic of the Congo,2015 Males,779731
Democratic Republic of the Congo,2020 Males,919417
Democratic Republic of the Congo,2015 Females,794488
Democratic Republic of the Congo,2020 Females,917030
Denmark,2015 Combined,238337
Denmark,2020 Combined,258801
Denmark,2015 Males,112801
Denmark,2020 Males,123185
Denmark,2015 Females,125536
Denmark,2020 Females,135616
Djibouti,2015 Combined,16969
Djibouti,2020 Combined,18365
Djibouti,2015 Males,8659
Djibouti,2020 Males,9293
Djibouti,2015 Females,8310
Djibouti,2020 Females,9072
Dominica,2015 Combined,73056
Dominica,2020 Combined,78715
Dominica,2015 Males,30575
Dominica,2020 Males,32605
Dominica,2015 Females,42481
Dominica,2020 Females,46110
Dominican Republic,2015 Combined,1472583
Dominican Republic,2020 Combined,1662799
Dominican Republic,2015 Males,615307
Dominican Republic,2020 Males,685307
Dominican Republic,2015 Females,857276
Dominican Republic,2020 Females,977492
Ecuador,2015 Combined,1217125
Ecuador,2020 Combined,1241263
Ecuador,2015 Males,580897
Ecuador,2020 Males,587520
Ecuador,2015 Females,636228
Ecuador,2020 Females,653743
Egypt,2015 Combined,3155260
Egypt,2020 Combined,3614975
Egypt,2015 Males,2043879
Egypt,2020 Males,2344373
Egypt,2015 Females,1111381
Egypt,2020 Females,1270602
El Salvador,2015 Combined,1515596
El Salvador,2020 Combined,1602046
El Salvador,2015 Males,754810
El Salvador,2020 Males,795705
El Salvador,2015 Females,760786
El Salvador,2020 Females,806341
Equatorial Guinea,2015 Combined,117012
Equatorial Guinea,2020 Combined,128844
Equatorial Guinea,2015 Males,62975
Equatorial Guinea,2020 Males,68773
Equatorial Guinea,2015 Females,54037
Equatorial Guinea,2020 Females,60071
Eritrea,2015 Combined,624785
Eritrea,2020 Combined,802847
Eritrea,2015 Males,326418
Eritrea,2020 Males,422895
Eritrea,2015 Females,298367
Eritrea,2020 Females,379952
Estonia,2015 Combined,189447
Estonia,2020 Combined,206992
Estonia,2015 Males,84217
Estonia,2020 Males,91557
Estonia,2015 Females,105230
Estonia,2020 Females,115435
Eswatini,2015 Combined,46236
Eswatini,2020 Combined,50039
Eswatini,2015 Males,22566
Eswatini,2020 Males,24339
Eswatini,2015 Females,23670
Eswatini,2020 Females,25700
Ethiopia,2015 Combined,842578
Ethiopia,2020 Combined,946207
Ethiopia,2015 Males,452013
Ethiopia,2020 Males,510301
Ethiopia,2015 Females,390565
Ethiopia,2020 Females,435906
Falkland Islands (Malvinas),2015 Combined,1422
Falkland Islands (Malvinas),2020 Combined,1572
Falkland Islands (Malvinas),2015 Males,604
Falkland Islands (Malvinas),2020 Males,667
Falkland Islands (Malvinas),2015 Females,818
Falkland Islands (Malvinas),2020 Females,905
Faroe Islands,2015 Combined,13407
Faroe Islands,2020 Combined,12927
Faroe Islands,2015 Males,5736
Faroe Islands,2020 Males,5511
Faroe Islands,2015 Females,7671
Faroe Islands,2020 Females,7416
Fiji,2015 Combined,209275
Fiji,2020 Combined,234610
Fiji,2015 Males,99704
Fiji,2020 Males,111240
Fiji,2015 Females,109571
Fiji,2020 Females,123370
Finland,2015 Combined,283209
Finland,2020 Combined,312988
Finland,2015 Males,109269
Finland,2020 Males,124352
Finland,2015 Females,173940
Finland,2020 Females,188636
France,2015 Combined,2183853
France,2020 Combined,2414151
France,2015 Males,1059129
France,2020 Males,1178800
