Destination,Year,Migrating from the country
Nauru,2020 Females,2034
Nepal,2015 Combined,2270357
Nepal,2020 Combined,2599894
Nepal,2015 Males,1239317
Nepal,2020 Males,1461863
Nepal,2015 Females,1031040
Nepal,2020 Females,1138031
Netherlands,2015 Combined,877591
Netherlands,2020 Combined,982351
Netherlands,2015 Males,442094
Netherlands,2020 Males,492165
Netherlands,2015 Females,435497
Netherlands,2020 Females,490186
New Caledonia,2015 Combined,5584
New Caledonia,2020 Combined,5839
New Caledonia,2015 Males,2725
New Caledonia,2020 Males,2855
New Caledonia,2015 Females,2859
New Caledonia,2020 Females,2984
New Zealand,2015 Combined,738748
New Zealand,2020 Combined,806982
New Zealand,2015 Males,375020
New Zealand,2020 Males,407265
New Zealand,2015 Females,363728
New Zealand,2020 Females,399717
Nicaragua,2015 Combined,658810
Nicaragua,2020 Combined,721471
Nicaragua,2015 Males,306608
Nicaragua,2020 Males,340044
Nicaragua,2015 Females,352202
Nicaragua,2020 Females,381427
Niger,2015 Combined,375010
Niger,2020 Combined,399725
Niger,2015 Males,221632
Niger,2020 Males,236334
Niger,2015 Females,153378
Niger,2020 Females,163391
Nigeria,2015 Combined,1308894
Nigeria,2020 Combined,1674151
Nigeria,2015 Males,684450
Nigeria,2020 Males,880418
Nigeria,2015 Females,624444
Nigeria,2020 Females,793733
Niue,2015 Combined,5350
Niue,2020 Combined,5187
Niue,2015 Males,2620
Niue,2020 Males,2555
Niue,2015 Females,2730
Niue,2020 Females,2632
North Macedonia,2015 Combined,564903
North Macedonia,2020 Combined,695475
North Macedonia,2015 Males,292007
North Macedonia,2020 Males,358491
North Macedonia,2015 Females,272896
North Macedonia,2020 Females,336984
Northern Mariana Islands,2015 Combined,5139
Northern Mariana Islands,2020 Combined,5405
Northern Mariana Islands,2015 Males,2635
Northern Mariana Islands,2020 Males,2755
Northern Mariana Islands,2015 Females,2504
Northern Mariana Islands,2020 Females,2650
Norway,2015 Combined,186837
Norway,2020 Combined,192810
Norway,2015 Males,83067
Norway,2020 Males,83706
Norway,2015 Females,103770
Norway,2020 Females,109104
Oman,2015 Combined,22820
Oman,2020 Combined,25123
Oman,2015 Males,11980
Oman,2020 Males,13588
Oman,2015 Females,10840
Oman,2020 Females,11535
Other,2015 Combined,10918842
Other,2020 Combined,12657151
Other,2015 Males,5685512
Other,2020 Males,6533198
Other,2015 Females,5233330
Other,2020 Females,6123953
Pakistan,2015 Combined,5798656
Pakistan,2020 Combined,6330708
Pakistan,2015 Males,3744144
Pakistan,2020 Males,4148456
Pakistan,2015 Females,2054512
Pakistan,2020 Females,2182252
Palau,2015 Combined,4876
Palau,2020 Combined,5066
Palau,2015 Males,2480
Palau,2020 Males,2588
Palau,2015 Females,2396
Palau,2020 Females,2478
Panama,2015 Combined,155856
Panama,2020 Combined,146065
Panama,2015 Males,76456
Panama,2020 Males,71531
Panama,2015 Females,79400
Panama,2020 Females,74534
Papua New Guinea,2015 Combined,4982
Papua New Guinea,2020 Combined,4811
Papua New Guinea,2015 Males,2353
Papua New Guinea,2020 Males,2354
Papua New Guinea,2015 Females,2629
Papua New Guinea,2020 Females,2457
Paraguay,2015 Combined,1580465
Paraguay,2020 Combined,1645568
Paraguay,2015 Males,690872
Paraguay,2020 Males,721394
Paraguay,2015 Females,889593
Paraguay,2020 Females,924174
Peru,2015 Combined,1851773
Peru,2020 Combined,2053865
Peru,2015 Males,812880
Peru,2020 Males,924288
Peru,2015 Females,1038893
Peru,2020 Females,1129577
Philippines,2015 Combined,5543346
Philippines,2020 Combined,6141656
Philippines,2015 Males,2556311
Philippines,2020 Males,2829298
Philippines,2015 Females,2987035
Philippines,2020 Females,3312358
Poland,2015 Combined,4092104
Poland,2020 Combined,4841034
Poland,2015 Males,1891069
Poland,2020 Males,2306490
Poland,2015 Females,2201035
Poland,2020 Females,2534544
Portugal,2015 Combined,2193690
Portugal,2020 Combined,2314636
Portugal,2015 Males,1125854
Portugal,2020 Males,1196922
Portugal,2015 Females,1067836
Portugal,2020 Females,1117714
Puerto Rico,2015 Combined,1721850
Puerto Rico,2020 Combined,1856913
Puerto Rico,2015 Males,844581
Puerto Rico,2020 Males,908860
Puerto Rico,2015 Females,877269
Puerto Rico,2020 Females,948053
Qatar,2015 Combined,23576
Qatar,2020 Combined,25706
Qatar,2015 Males,11904
Qatar,2020 Males,13146
Qatar,2015 Females,11672
Qatar,2020 Females,12560
Republic of Korea,2015 Combined,2180804
Republic of Korea,2020 Combined,2235684
Republic of Korea,2015 Males,1077103
Republic of Korea,2020 Males,1104515
Republic of Korea,2015 Females,1103701
Republic of Korea,2020 Females,1131169
Republic of Moldova,2015 Combined,930224
Republic of Moldova,2020 Combined,1159910
Republic of Moldova,2015 Males,431083
Republic of Moldova,2020 Males,554540
Republic of Moldova,2015 Females,499141
Republic of Moldova,2020 Females,605370
Romania,2015 Combined,3425832
Romania,2020 Combined,3992629
Romania,2015 Males,1570107
Romania,2020 Males,1876563
Romania,2015 Females,1855725
Romania,2020 Females,2116066
Russian Federation,2015 Combined,10187260
Russian Federation,2020 Combined,10764761
Russian Federation,2015 Males,4452199
Russian Federation,2020 Males,4658401
Russian Federation,2015 Females,5735061
Russian Federation,2020 Females,6106360
Rwanda,2015 Combined,503685
Rwanda,2020 Combined,492507
Rwanda,2015 Males,247171
Rwanda,2020 Males,241204
Rwanda,2015 Females,256514
Rwanda,2020 Females,251303
Réunion,2015 Combined,3260
Réunion,2020 Combined,3460
Réunion,2015 Males,1250
Réunion,2020 Males,1372
Réunion,2015 Females,2010
Réunion,2020 Females,2088
Saint Barthélemy,2015 Combined,0
Saint Barthélemy,2020 Combined,0
Saint Barthélemy,2015 Males,0
Saint Barthélemy,2020 Males,0
Saint Barthélemy,2015 Females,0
Saint Barthélemy,2020 Females,0
Saint Helena,2015 Combined,4608
Saint Helena,2020 Combined,5287
Saint Helena,2015 Males,1912
Saint Helena,2020 Males,2208
Saint Helena,2015 Females,2696
Saint Helena,2020 Females,3079
Saint Kitts and Nevis,2015 Combined,40247
Saint Kitts and Nevis,2020 Combined,50323
Saint Kitts and Nevis,2015 Males,18145
Saint Kitts and Nevis,2020 Males,22392
Saint Kitts and Nevis,2015 Females,22102
Saint Kitts and Nevis,2020 Females,27931
Saint Lucia,2015 Combined,59022
Saint Lucia,2020 Combined,72424
Saint Lucia,2015 Males,24675
Saint Lucia,2020 Males,30161
Saint Lucia,2015 Females,34347
Saint Lucia,2020 Females,42263
Saint Martin (French part),2015 Combined,0
Saint Martin (French part),2020 Combined,0
Saint Martin (French part),2015 Males,0
Saint Martin (French part),2020 Males,0
Saint Martin (French part),2015 Females,0
Saint Martin (French part),2020 Females,0
Saint Pierre and Miquelon,2015 Combined,400
Saint Pierre and Miquelon,2020 Combined,433
Saint Pierre and Miquelon,2015 Males,222
Saint Pierre and Miquelon,2020 Males,242
Saint Pierre and Miquelon,2015 Females,178
Saint Pierre and Miquelon,2020 Females,191
Saint Vincent and the Grenadines,2015 Combined,62676
Saint Vincent and the Grenadines,2020 Combined,55931
Saint Vincent and the Grenadines,2015 Males,29259
Saint Vincent and the Grenadines,2020 Males,25974
Saint Vincent and the Grenadines,2015 Females,33417
Saint Vincent and the Grenadines,2020 Females,29957
Samoa,2015 Combined,116876
Samoa,2020 Combined,135752
Samoa,2015 Males,57519
Samoa,2020 Males,66681
Samoa,2015 Females,59357
Samoa,2020 Females,69071
San Marino,2015 Combined,3745
San Marino,2020 Combined,2466
San Marino,2015 Males,1283
San Marino,2020 Males,1001
San Marino,2015 Females,2462
San Marino,2020 Females,1465
Sao Tome and Principe,2015 Combined,35231
Sao Tome and Principe,2020 Combined,39681
Sao Tome and Principe,2015 Males,16261
Sao Tome and Principe,2020 Males,18849
Sao Tome and Principe,2015 Females,18970
Sao Tome and Principe,2020 Females,20832
Saudi Arabia,2015 Combined,285122
Saudi Arabia,2020 Combined,301451
Saudi Arabia,2015 Males,155835
Saudi Arabia,2020 Males,166686
Saudi Arabia,2015 Females,129287
Saudi Arabia,2020 Females,134765
Senegal,2015 Combined,599749
Senegal,2020 Combined,700052
Senegal,2015 Males,372768
Senegal,2020 Males,436028
Senegal,2015 Females,226981
Senegal,2020 Females,264024
Serbia,2015 Combined,828250
Serbia,2020 Combined,1005315
Serbia,2015 Males,406933
Serbia,2020 Males,498152
Serbia,2015 Females,421317
Serbia,2020 Females,507163
Seychelles,2015 Combined,27518
Seychelles,2020 Combined,29295
Seychelles,2015 Males,11818
Seychelles,2020 Males,12661
Seychelles,2015 Females,15700
Seychelles,2020 Females,16634
Sierra Leone,2015 Combined,139306
Sierra Leone,2020 Combined,152495
Sierra Leone,2015 Males,69285
Sierra Leone,2020 Males,76152
Sierra Leone,2015 Females,70021
Sierra Leone,2020 Females,76343
Singapore,2015 Combined,324796
Singapore,2020 Combined,348628
Singapore,2015 Males,157650
Singapore,2020 Males,166871
Singapore,2015 Females,167146
Singapore,2020 Females,181757
Sint Maarten (Dutch part),2015 Combined,2234
Sint Maarten (Dutch part),2020 Combined,2484
Sint Maarten (Dutch part),2015 Males,1077
Sint Maarten (Dutch part),2020 Males,1204
Sint Maarten (Dutch part),2015 Females,1157
Sint Maarten (Dutch part),2020 Females,1280
Slovakia,2015 Combined,347727
Slovakia,2020 Combined,420013
Slovakia,2015 Males,157267
Slovakia,2020 Males,195748
Slovakia,2015 Females,190460
Slovakia,2020 Females,224265
Slovenia,2015 Combined,137697
Slovenia,2020 Combined,161394
Slovenia,2015 Males,61772
Slovenia,2020 Males,74016
Slovenia,2015 Females,75925
Slovenia,2020 Females,87378
Solomon Islands,2015 Combined,3952
Solomon Islands,2020 Combined,4344
Solomon Islands,2015 Males,1956
Solomon Islands,2020 Males,2123
Solomon Islands,2015 Females,1996
Solomon Islands,2020 Females,2221
Somalia,2015 Combined,2008496
Somalia,2020 Combined,2034226
Somalia,2015 Males,1040987
Somalia,2020 Males,1064788
Somalia,2015 Females,967509
Somalia,2020 Females,969438
South Africa,2015 Combined,788864
South Africa,2020 Combined,917470
South Africa,2015 Males,381028
South Africa,2020 Males,453421
South Africa,2015 Females,407836
South Africa,2020 Females,464049
South Sudan,2015 Combined,1060678
South Sudan,2020 Combined,2575870
South Sudan,2015 Males,543822
South Sudan,2020 Males,1271104
South Sudan,2015 Females,516856
South Sudan,2020 Females,1304766
Spain,2015 Combined,1550230
Spain,2020 Combined,1790900
Spain,2015 Males,717921
Spain,2020 Males,848827
Spain,2015 Females,832309
Spain,2020 Females,942073
Sri Lanka,2015 Combined,1656297
Sri Lanka,2020 Combined,1960163
Sri Lanka,2015 Males,937606
Sri Lanka,2020 Males,1128344
Sri Lanka,2015 Females,718691
Sri Lanka,2020 Females,831819
State of Palestine,2015 Combined,3774580
State of Palestine,2020 Combined,4023359
State of Palestine,2015 Males,1972933
State of Palestine,2020 Males,2112612
State of Palestine,2015 Females,1801647
State of Palestine,2020 Females,1910747
Sudan,2015 Combined,1842613
Sudan,2020 Combined,2104897
Sudan,2015 Males,1013999
Sudan,2020 Males,1155694
Sudan,2015 Females,828614
Sudan,2020 Females,949203
Suriname,2015 Combined,280753
Suriname,2020 Combined,302381
Suriname,2015 Males,125257
Suriname,2020 Males,134695
Suriname,2015 Females,155496
Suriname,2020 Females,167686
Sweden,2015 Combined,304398
Sweden,2020 Combined,329921
Sweden,2015 Males,137132
Sweden,2020 Males,148919
Sweden,2015 Females,167266
Sweden,2020 Females,181002
Switzerland,2015 Combined,653919
Switzerland,2020 Combined,723879
Switzerland,2015 Males,301658
Switzerland,2020 Males,333123
Switzerland,2015 Females,352261
Switzerland,2020 Females,390756
Syrian Arab Republic,2015 Combined,6468092
Syrian Arab Republic,2020 Combined,8481255
Syrian Arab Republic,2015 Males,3676122
Syrian Arab Republic,2020 Males,4884118
Syrian Arab Republic,2015 Females,2791970
Syrian Arab Republic,2020 Females,3597137
Tajikistan,2015 Combined,585070
Tajikistan,2020 Combined,586860
Tajikistan,2015 Males,334204
Tajikistan,2020 Males,337401
Tajikistan,2015 Females,250866
Tajikistan,2020 Females,249459
Thailand,2015 Combined,922389
Thailand,2020 Combined,1087739
Thailand,2015 Males,348441
Thailand,2020 Males,423853
Thailand,2015 Females,573948
Thailand,2020 Females,663886
Timor-Leste,2015 Combined,37383
Timor-Leste,2020 Combined,39650
Timor-Leste,2015 Males,20595
Timor-Leste,2020 Males,21797
Timor-Leste,2015 Females,16788
Timor-Leste,2020 Females,17853
Togo,2015 Combined,495393
Togo,2020 Combined,545421
Togo,2015 Males,247175
Togo,2020 Males,271534
Togo,2015 Females,248218
Togo,2020 Females,273887
Tokelau,2015 Combined,2171
Tokelau,2020 Combined,2112
Tokelau,2015 Males,1096
Tokelau,2020 Males,1068
Tokelau,2015 Females,1075
Tokelau,2020 Females,1044
Tonga,2015 Combined,59221
Tonga,2020 Combined,74567
Tonga,2015 Males,29485
Tonga,2020 Males,36760
Tonga,2015 Females,29736
Tonga,2020 Females,37807
Trinidad and Tobago,2015 Combined,372241
Trinidad and Tobago,2020 Combined,334006
Trinidad and Tobago,2015 Males,156316
Trinidad and Tobago,2020 Males,139052
Trinidad and Tobago,2015 Females,215925
Trinidad and Tobago,2020 Females,194954
Tunisia,2015 Combined,774531
Tunisia,2020 Combined,902424
Tunisia,2015 Males,434711
Tunisia,2020 Males,502526
Tunisia,2015 Females,339820
Tunisia,2020 Females,399898
Turkey,2015 Combined,3074814
Turkey,2020 Combined,3412765
Turkey,2015 Males,1588151
Turkey,2020 Males,1766827
Turkey,2015 Females,1486663
Turkey,2020 Females,1645938
Turkmenistan,2015 Combined,238556
Turkmenistan,2020 Combined,242581
Turkmenistan,2015 Males,113833
Turkmenistan,2020 Males,115604
Turkmenistan,2015 Females,124723
Turkmenistan,2020 Females,126977
Turks and Caicos Islands,2015 Combined,2454
Turks and Caicos Islands,2020 Combined,2689
Turks and Caicos Islands,2015 Males,1036
Turks and Caicos Islands,2020 Males,1136
Turks and Caicos Islands,2015 Females,1418
Turks and Caicos Islands,2020 Females,1553
Tuvalu,2015 Combined,3532
Tuvalu,2020 Combined,4022
Tuvalu,2015 Males,1781
Tuvalu,2020 Males,2020
Tuvalu,2015 Females,1751
Tuvalu,2020 Females,2002
Uganda,2015 Combined,786306
Uganda,2020 Combined,781521
Uganda,2015 Males,375993
Uganda,2020 Males,372780
Uganda,2015 Females,410313
Uganda,2020 Females,408741
Ukraine,2015 Combined,5803787
Ukraine,2020 Combined,6145721
Ukraine,2015 Males,2612408
Ukraine,2020 Males,2781708
Ukraine,2015 Females,3191379
Ukraine,2020 Females,3364013
United Arab Emirates,2015 Combined,178363
United Arab Emirates,2020 Combined,203254
United Arab Emirates,2015 Males,94439
United Arab Emirates,2020 Males,107495
United Arab Emirates,2015 Females,83924
United Arab Emirates,2020 Females,95759
United Kingdom,2015 Combined,4397170
United Kingdom,2020 Combined,4753873
United Kingdom,2015 Males,2233696
United Kingdom,2020 Males,2421084
United Kingdom,2015 Females,2163474
United Kingdom,2020 Females,2332789
United Republic of Tanzania,2015 Combined,294212
United Republic of Tanzania,2020 Combined,327980
United Republic of Tanzania,2015 Males,145385
United Republic of Tanzania,2020 Males,162545
United Republic of Tanzania,2015 Females,148827
United Republic of Tanzania,2020 Females,165435
United States Virgin Islands,2015 Combined,3953
United States Virgin Islands,2020 Combined,3908
United States Virgin Islands,2015 Males,2206
United States Virgin Islands,2020 Males,2169
United States Virgin Islands,2015 Females,1747
United States Virgin Islands,2020 Females,1739
United States of America,2015 Combined,2864209
United States of America,2020 Combined,3173045
United States of America,2015 Males,1443642
United States of America,2020 Males,1602083
United States of America,2015 Females,1420567
United States of America,2020 Females,1570962
Uruguay,2015 Combined,531221
Uruguay,2020 Combined,548592
Uruguay,2015 Males,253955
Uruguay,2020 Males,264160
Uruguay,2015 Females,277266
Uruguay,2020 Females,284432
Uzbekistan,2015 Combined,1976061
Uzbekistan,2020 Combined,2027860
Uzbekistan,2015 Males,1023637
Uzbekistan,2020 Males,1051421
Uzbekistan,2015 Females,952424
Uzbekistan,2020 Females,976439
Vanuatu,2015 Combined,6759
Vanuatu,2020 Combined,7254
Vanuatu,2015 Males,3231
Vanuatu,2020 Males,3438
Vanuatu,2015 Females,3528
Vanuatu,2020 Females,3816
Venezuela (Bolivarian Republic of),2015 Combined,839982
Venezuela (Bolivarian Republic of),2020 Combined,9518541
Venezuela (Bolivarian Republic of),2015 Males,377193
Venezuela (Bolivarian Republic of),2020 Males,4640537
Venezuela (Bolivarian Republic of),2015 Females,462789
Venezuela (Bolivarian Republic of),2020 Females,4878004
Viet Nam,2015 Combined,2910072
Viet Nam,2020 Combined,3392637
Viet Nam,2015 Males,1464936
Viet Nam,2020 Males,1687202
Viet Nam,2015 Females,1445136
Viet Nam,2020 Females,1705435
Wallis and Futuna Islands,2015 Combined,11227
Wallis and Futuna Islands,2020 Combined,11917
Wallis and Futuna Islands,2015 Males,5364
Wallis and Futuna Islands,2020 Males,5673
Wallis and Futuna Islands,2015 Females,5863
Wallis and Futuna Islands,2020 Females,6244
Western Sahara,2015 Combined,185885
Western Sahara,2020 Combined,194932
Western Sahara,2015 Males,98132
Western Sahara,2020 Males,102851
Western Sahara,2015 Females,87753
Western Sahara,2020 Females,92081
Yemen,2015 Combined,1095240
Yemen,2020 Combined,1301166
Yemen,2015 Males,720626
Yemen,2020 Males,847302
Yemen,2015 Females,374614
Yemen,2020 Females,453864
Zambia,2015 Combined,184375
Zambia,2020 Combined,200703
Zambia,2015 Males,86167
Zambia,2020 Males,93623
Zambia,2015 Females,98208
Zambia,2020 Females,107080
Zimbabwe,2015 Combined,1167205
Zimbabwe,2020 Combined,1243461
Zimbabwe,2015 Males,602202
Zimbabwe,2020 Males,641258
Zimbabwe,2015 Females,565003
Zimbabwe,2020 Females,602203
