Destination,Year,Migrating into the country
Brazil,2020 Females,496875
British Virgin Islands,2015 Combined,19535
British Virgin Islands,2020 Combined,22164
British Virgin Islands,2015 Males,9413
British Virgin Islands,2020 Males,10681
British Virgin Islands,2015 Females,10122
British Virgin Islands,2020 Females,11483
Brunei Darussalam,2015 Combined,102733
Brunei Darussalam,2020 Combined,111959
Brunei Darussalam,2015 Males,58181
Brunei Darussalam,2020 Males,63407
Brunei Darussalam,2015 Females,44552
Brunei Darussalam,2020 Females,48552
Bulgaria,2015 Combined,123810
Bulgaria,2020 Combined,184367
Bulgaria,2015 Males,60063
Bulgaria,2020 Males,91587
Bulgaria,2015 Females,63747
Bulgaria,2020 Females,92780
Burkina Faso,2015 Combined,704676
Burkina Faso,2020 Combined,723989
Burkina Faso,2015 Males,335328
Burkina Faso,2020 Males,344331
Burkina Faso,2015 Females,369348
Burkina Faso,2020 Females,379658
Burundi,2015 Combined,298299
Burundi,2020 Combined,344767
Burundi,2015 Males,146970
Burundi,2020 Males,170125
Burundi,2015 Females,151329
Burundi,2020 Females,174642
Cabo Verde,2015 Combined,14924
Cabo Verde,2020 Combined,15788
Cabo Verde,2015 Males,7547
Cabo Verde,2020 Males,7985
Cabo Verde,2015 Females,7377
Cabo Verde,2020 Females,7803
Cambodia,2015 Combined,73962
Cambodia,2020 Combined,79341
Cambodia,2015 Males,39854
Cambodia,2020 Males,42730
Cambodia,2015 Females,34108
Cambodia,2020 Females,36611
Cameroon,2015 Combined,508346
Cameroon,2020 Combined,579209
Cameroon,2015 Males,251311
Cameroon,2020 Males,286254
Cameroon,2015 Females,257035
Cameroon,2020 Females,292955
Canada,2015 Combined,7428657
Canada,2020 Combined,8049323
Canada,2015 Males,3533164
Canada,2020 Males,3828361
Canada,2015 Females,3895493
Canada,2020 Females,4220962
Cayman Islands,2015 Combined,26193
Cayman Islands,2020 Combined,29242
Cayman Islands,2015 Males,13406
Cayman Islands,2020 Males,15017
Cayman Islands,2015 Females,12787
Cayman Islands,2020 Females,14225
Central African Republic,2015 Combined,81568
Central African Republic,2020 Combined,88546
Central African Republic,2015 Males,43147
Central African Republic,2020 Males,46357
Central African Republic,2015 Females,38421
Central African Republic,2020 Females,42189
Chad,2015 Combined,466968
Chad,2020 Combined,547494
Chad,2015 Males,215640
Chad,2020 Males,249548
Chad,2015 Females,251328
Chad,2020 Females,297946
Channel Islands,2015 Combined,82307
Channel Islands,2020 Combined,84087
Channel Islands,2015 Males,39338
Channel Islands,2020 Males,40190
Channel Islands,2015 Females,42969
Channel Islands,2020 Females,43897
Chile,2015 Combined,639724
Chile,2020 Combined,1645015
Chile,2015 Males,319714
Chile,2020 Males,830073
Chile,2015 Females,320010
Chile,2020 Females,814942
China,2015 Combined,978046
China,2020 Combined,1039675
China,2015 Males,600136
China,2020 Males,637952
China,2015 Females,377910
China,2020 Females,401723
"China, Hong Kong SAR",2015 Combined,2841113
"China, Hong Kong SAR",2020 Combined,2962492
"China, Hong Kong SAR",2015 Males,1120982
"China, Hong Kong SAR",2020 Males,1107970
"China, Hong Kong SAR",2015 Females,1720131
"China, Hong Kong SAR",2020 Females,1854522
"China, Macao SAR",2015 Combined,376066
"China, Macao SAR",2020 Combined,403490
"China, Macao SAR",2015 Males,174589
"China, Macao SAR",2020 Males,187321
"China, Macao SAR",2015 Females,201477
"China, Macao SAR",2020 Females,216169
"China, Taiwan Province of China",2015 Combined,0
"China, Taiwan Province of China",2020 Combined,0
"China, Taiwan Province of China",2015 Males,0
"China, Taiwan Province of China",2020 Males,0
"China, Taiwan Province of China",2015 Females,0
"China, Taiwan Province of China",2020 Females,0
Colombia,2015 Combined,159407
Colombia,2020 Combined,1905393
Colombia,2015 Males,85158
Colombia,2020 Males,953735
Colombia,2015 Females,74249
Colombia,2020 Females,951658
Comoros,2015 Combined,12555
Comoros,2020 Combined,12496
Comoros,2015 Males,6071
Comoros,2020 Males,6044
Comoros,2015 Females,6484
Comoros,2020 Females,6452
Congo,2015 Combined,390142
Congo,2020 Combined,387606
Congo,2015 Males,213764
Congo,2020 Males,211403
Congo,2015 Females,176378
Congo,2020 Females,176203
Cook Islands,2015 Combined,4168
Cook Islands,2020 Combined,4579
Cook Islands,2015 Males,2090
Cook Islands,2020 Males,2290
Cook Islands,2015 Females,2078
Cook Islands,2020 Females,2289
Costa Rica,2015 Combined,411702
Costa Rica,2020 Combined,520735
Costa Rica,2015 Males,197615
Costa Rica,2020 Males,263639
Costa Rica,2015 Females,214087
Costa Rica,2020 Females,257096
Croatia,2015 Combined,561093
Croatia,2020 Combined,528056
Croatia,2015 Males,260473
Croatia,2020 Males,245564
Croatia,2015 Females,300620
Croatia,2020 Females,282492
Cuba,2015 Combined,4649
Cuba,2020 Combined,3024
Cuba,2015 Males,2027
Cuba,2020 Males,1312
Cuba,2015 Females,2622
Cuba,2020 Females,1712
Curaçao,2015 Combined,37611
Curaçao,2020 Combined,57210
Curaçao,2015 Males,15467
Curaçao,2020 Males,24958
Curaçao,2015 Females,22144
Curaçao,2020 Females,32252
Cyprus,2015 Combined,176693
Cyprus,2020 Combined,190366
Cyprus,2015 Males,77357
Cyprus,2020 Males,85679
Cyprus,2015 Females,99336
Cyprus,2020 Females,104687
Czechia,2015 Combined,416455
Czechia,2020 Combined,540921
Czechia,2015 Males,239228
Czechia,2020 Males,312941
Czechia,2015 Females,177227
Czechia,2020 Females,227980
Côte d'Ivoire,2015 Combined,2470613
Côte d'Ivoire,2020 Combined,2564857
Côte d'Ivoire,2015 Males,1368110
Côte d'Ivoire,2020 Males,1420248
Côte d'Ivoire,2015 Females,1102503
Côte d'Ivoire,2020 Females,1144609
Dem. People's Republic of Korea,2015 Combined,48458
Dem. People's Republic of Korea,2020 Combined,49549
Dem. People's Republic of Korea,2015 Males,24110
Dem. People's Republic of Korea,2020 Males,24654
Dem. People's Republic of Korea,2015 Females,24348
Dem. People's Republic of Korea,2020 Females,24895
Democratic Republic of the Congo,2015 Combined,810018
Democratic Republic of the Congo,2020 Combined,952871
Democratic Republic of the Congo,2015 Males,393966
Democratic Republic of the Congo,2020 Males,459052
Democratic Republic of the Congo,2015 Females,416052
Democratic Republic of the Congo,2020 Females,493819
Denmark,2015 Combined,595880
Denmark,2020 Combined,717577
Denmark,2015 Males,291433
Denmark,2020 Males,354478
Denmark,2015 Females,304447
Denmark,2020 Females,363099
Djibouti,2015 Combined,112351
Djibouti,2020 Combined,119738
Djibouti,2015 Males,59081
Djibouti,2020 Males,62863
Djibouti,2015 Females,53270
Djibouti,2020 Females,56875
Dominica,2015 Combined,8093
Dominica,2020 Combined,8284
Dominica,2015 Males,4215
Dominica,2020 Males,4314
Dominica,2015 Females,3878
Dominica,2020 Females,3970
Dominican Republic,2015 Combined,549289
Dominican Republic,2020 Combined,603794
Dominican Republic,2015 Males,353448
Dominican Republic,2020 Males,382542
Dominican Republic,2015 Females,195841
Dominican Republic,2020 Females,221252
Ecuador,2015 Combined,387513
Ecuador,2020 Combined,784787
Ecuador,2015 Males,200352
Ecuador,2020 Males,406860
Ecuador,2015 Females,187161
Ecuador,2020 Females,377927
Egypt,2015 Combined,353641
Egypt,2020 Combined,543937
Egypt,2015 Males,207433
Egypt,2020 Males,289552
Egypt,2015 Females,146208
Egypt,2020 Females,254385
El Salvador,2015 Combined,42059
El Salvador,2020 Combined,42767
El Salvador,2015 Males,20006
El Salvador,2020 Males,20344
El Salvador,2015 Females,22053
El Salvador,2020 Females,22423
Equatorial Guinea,2015 Combined,209611
Equatorial Guinea,2020 Combined,230618
Equatorial Guinea,2015 Males,161527
Equatorial Guinea,2020 Males,177716
Equatorial Guinea,2015 Females,48084
Equatorial Guinea,2020 Females,52902
Eritrea,2015 Combined,15941
Eritrea,2020 Combined,13934
Eritrea,2015 Males,8833
Eritrea,2020 Males,7815
Eritrea,2015 Females,7108
Eritrea,2020 Females,6119
Estonia,2015 Combined,194665
Estonia,2020 Combined,199277
Estonia,2015 Males,80025
Estonia,2020 Males,86767
Estonia,2015 Females,114640
Estonia,2020 Females,112510
Eswatini,2015 Combined,32352
Eswatini,2020 Combined,32858
Eswatini,2015 Males,16627
Eswatini,2020 Males,16921
Eswatini,2015 Females,15725
Eswatini,2020 Females,15937
Ethiopia,2015 Combined,1161642
Ethiopia,2020 Combined,1085517
Ethiopia,2015 Males,591409
Ethiopia,2020 Males,536807
Ethiopia,2015 Females,570233
Ethiopia,2020 Females,548710
Falkland Islands (Malvinas),2015 Combined,1571
Falkland Islands (Malvinas),2020 Combined,1957
Falkland Islands (Malvinas),2015 Males,873
Falkland Islands (Malvinas),2020 Males,1089
Falkland Islands (Malvinas),2015 Females,698
Falkland Islands (Malvinas),2020 Females,868
Faroe Islands,2015 Combined,5485
Faroe Islands,2020 Combined,6812
Faroe Islands,2015 Males,2783
Faroe Islands,2020 Males,3542
Faroe Islands,2015 Females,2702
Faroe Islands,2020 Females,3270
Fiji,2015 Combined,14526
Fiji,2020 Combined,14880
Fiji,2015 Males,7840
Fiji,2020 Males,8031
Fiji,2015 Females,6686
Fiji,2020 Females,6849
Finland,2015 Combined,314856
Finland,2020 Combined,386052
Finland,2015 Males,159315
Finland,2020 Males,198822
Finland,2015 Females,155541
Finland,2020 Females,187230
France,2015 Combined,7878350
France,2020 Combined,8524886
France,2015 Males,3808576
France,2020 Males,4130741
France,2015 Females,4069774
France,2020 Females,4394145
French Guiana,2015 Combined,106108
French Guiana,2020 Combined,119249
French Guiana,2015 Males,50399
French Guiana,2020 Males,56642
French Guiana,2015 Females,55709
French Guiana,2020 Females,62607
French Polynesia,2015 Combined,30058
French Polynesia,2020 Combined,30081
French Polynesia,2015 Males,17136
French Polynesia,2020 Males,17150
French Polynesia,2015 Females,12922
French Polynesia,2020 Females,12931
Gabon,2015 Combined,378686
Gabon,2020 Combined,416651
Gabon,2015 Males,243782
Gabon,2020 Males,268032
Gabon,2015 Females,134904
Gabon,2020 Females,148619
Gambia,2015 Combined,192540
Gambia,2020 Combined,215659
Gambia,2015 Males,101501
Gambia,2020 Males,113766
Gambia,2015 Females,91039
Gambia,2020 Females,101893
Georgia,2015 Combined,76685
Georgia,2020 Combined,79368
Georgia,2015 Males,33570
Georgia,2020 Males,34879
Georgia,2015 Females,43115
Georgia,2020 Females,44489
Germany,2015 Combined,10220418
Germany,2020 Combined,15762457
Germany,2015 Males,5037961
Germany,2020 Males,7891635
Germany,2015 Females,5182457
Germany,2020 Females,7870822
Ghana,2015 Combined,414744
Ghana,2020 Combined,476412
Ghana,2015 Males,221026
Ghana,2020 Males,254403
Ghana,2015 Females,193718
Ghana,2020 Females,222009
Gibraltar,2015 Combined,11065
Gibraltar,2020 Combined,11190
Gibraltar,2015 Males,5591
Gibraltar,2020 Males,5656
Gibraltar,2015 Females,5474
Gibraltar,2020 Females,5534
Greece,2015 Combined,1243110
Greece,2020 Combined,1340645
Greece,2015 Males,570680
Greece,2020 Males,642796
Greece,2015 Females,672430
Greece,2020 Females,697849
Greenland,2015 Combined,6009
Greenland,2020 Combined,5899
Greenland,2015 Males,3951
Greenland,2020 Males,3822
Greenland,2015 Females,2058
Greenland,2020 Females,2077
Grenada,2015 Combined,7057
Grenada,2020 Combined,7213
Grenada,2015 Males,3502
Grenada,2020 Males,3292
Grenada,2015 Females,3555
Grenada,2020 Females,3921
Guadeloupe,2015 Combined,90956
Guadeloupe,2020 Combined,90206
Guadeloupe,2015 Males,38680
Guadeloupe,2020 Males,37914
Guadeloupe,2015 Females,52276
Guadeloupe,2020 Females,52292
Guam,2015 Combined,90627
Guam,2020 Combined,95842
Guam,2015 Males,46746
Guam,2020 Males,49441
Guam,2015 Females,43881
Guam,2020 Females,46401
Guatemala,2015 Combined,74852
Guatemala,2020 Combined,84311
Guatemala,2015 Males,35728
Guatemala,2020 Males,39916
Guatemala,2015 Females,39124
Guatemala,2020 Females,44395
Guinea,2015 Combined,126696
Guinea,2020 Combined,121466
Guinea,2015 Males,74217
Guinea,2020 Males,71407
Guinea,2015 Females,52479
Guinea,2020 Females,50059
Guinea-Bissau,2015 Combined,22333
Guinea-Bissau,2020 Combined,17945
Guinea-Bissau,2015 Males,10826
Guinea-Bissau,2020 Males,8867
Guinea-Bissau,2015 Females,11507
Guinea-Bissau,2020 Females,9078
Guyana,2015 Combined,8661
Guyana,2020 Combined,31169
Guyana,2015 Males,4794
Guyana,2020 Males,14497
Guyana,2015 Females,3867
Guyana,2020 Females,16672
Haiti,2015 Combined,18047
Haiti,2020 Combined,18884
Haiti,2015 Males,10036
Haiti,2020 Males,10499
Haiti,2015 Females,8011
Haiti,2020 Females,8385
Holy See,2015 Combined,790
Holy See,2020 Combined,809
Holy See,2015 Males,376
Holy See,2020 Males,372
Holy See,2015 Females,414
Holy See,2020 Females,437
Honduras,2015 Combined,38330
Honduras,2020 Combined,39195
Honduras,2015 Males,20123
Honduras,2020 Males,20575
Honduras,2015 Females,18207
Honduras,2020 Females,18620
Hungary,2015 Combined,475512
Hungary,2020 Combined,584567
Hungary,2015 Males,235721
Hungary,2020 Males,303065
Hungary,2015 Females,239791
Hungary,2020 Females,281502
Iceland,2015 Combined,39072
Iceland,2020 Combined,65424
Iceland,2015 Males,19070
Iceland,2020 Males,35716
Iceland,2015 Females,20002
Iceland,2020 Females,29708
India,2015 Combined,5210847
India,2020 Combined,4878704
India,2015 Males,2474515
India,2020 Males,2273912
India,2015 Females,2736332
India,2020 Females,2604792
Indonesia,2015 Combined,338124
Indonesia,2020 Combined,355505
Indonesia,2015 Males,196717
Indonesia,2020 Males,206538
Indonesia,2015 Females,141407
Indonesia,2020 Females,148967
Iran (Islamic Republic of),2015 Combined,2729939
Iran (Islamic Republic of),2020 Combined,2797235
Iran (Islamic Republic of),2015 Males,1487403
Iran (Islamic Republic of),2020 Males,1517518
Iran (Islamic Republic of),2015 Females,1242536
Iran (Islamic Republic of),2020 Females,1279717
Iraq,2015 Combined,359352
Iraq,2020 Combined,365766
Iraq,2015 Males,209217
Iraq,2020 Males,201427
Iraq,2015 Females,150135
Iraq,2020 Females,164339
Ireland,2015 Combined,759256
Ireland,2020 Combined,871256
Ireland,2015 Males,376338
Ireland,2020 Males,434756
Ireland,2015 Females,382918
Ireland,2020 Females,436500
Isle of Man,2015 Combined,42238
Isle of Man,2020 Combined,43040
Isle of Man,2015 Males,20596
Isle of Man,2020 Males,20987
Isle of Man,2015 Females,21642
Isle of Man,2020 Females,22053
Israel,2015 Combined,2011727
Israel,2020 Combined,1953575
Israel,2015 Males,912899
Israel,2020 Males,886517
Israel,2015 Females,1098828
Israel,2020 Females,1067058
Italy,2015 Combined,5805345
Italy,2020 Combined,6387008
Italy,2015 Males,2637803
Italy,2020 Males,2965915
Italy,2015 Females,3167542
Italy,2020 Females,3421093
Jamaica,2015 Combined,23165
Jamaica,2020 Combined,23629
Jamaica,2015 Males,11765
Jamaica,2020 Males,12008
Jamaica,2015 Females,11400
Jamaica,2020 Females,11621
Japan,2015 Combined,2232189
Japan,2020 Combined,2770996
Japan,2015 Males,1050070
Japan,2020 Males,1347156
Japan,2015 Females,1182119
Japan,2020 Females,1423840
Jordan,2015 Combined,3166961
Jordan,2020 Combined,3457691
Jordan,2015 Males,1594808
Jordan,2020 Males,1756637
Jordan,2015 Females,1572153
Jordan,2020 Females,1701054
Kazakhstan,2015 Combined,3546060
Kazakhstan,2020 Combined,3732073
Kazakhstan,2015 Males,1757828
Kazakhstan,2020 Males,1850097
Kazakhstan,2015 Females,1788232
Kazakhstan,2020 Females,1881976
Kenya,2015 Combined,1126886
Kenya,2020 Combined,1050147
Kenya,2015 Males,562909
Kenya,2020 Males,529975
Kenya,2015 Females,563977
Kenya,2020 Females,520172
Kiribati,2015 Combined,4390
Kiribati,2020 Combined,4712
Kiribati,2015 Males,2279
Kiribati,2020 Males,2442
Kiribati,2015 Females,2111
Kiribati,2020 Females,2270
Kuwait,2015 Combined,2866136
Kuwait,2020 Combined,3110159
Kuwait,2015 Males,1901855
Kuwait,2020 Males,2063430
Kuwait,2015 Females,964281
Kuwait,2020 Females,1046729
Kyrgyzstan,2015 Combined,204382
Kyrgyzstan,2020 Combined,199011
Kyrgyzstan,2015 Males,82616
Kyrgyzstan,2020 Males,80456
Kyrgyzstan,2015 Females,121766
Kyrgyzstan,2020 Females,118555
Lao People's Democratic Republic,2015 Combined,45538
Lao People's Democratic Republic,2020 Combined,48731
Lao People's Democratic Republic,2015 Males,29335
Lao People's Democratic Republic,2020 Males,31393
Lao People's Democratic Republic,2015 Females,16203
Lao People's Democratic Republic,2020 Females,17338
Latvia,2015 Combined,265418
Latvia,2020 Combined,239422
Latvia,2015 Males,104011
Latvia,2020 Males,97022
Latvia,2015 Females,161407
Latvia,2020 Females,142400
Lebanon,2015 Combined,1916259
Lebanon,2020 Combined,1712762
Lebanon,2015 Males,921661
Lebanon,2020 Males,839706
Lebanon,2015 Females,994598
Lebanon,2020 Females,873056
Lesotho,2015 Combined,9152
Lesotho,2020 Combined,12060
Lesotho,2015 Males,5037
Lesotho,2020 Males,6537
Lesotho,2015 Females,4115
Lesotho,2020 Females,5523
Liberia,2015 Combined,112111
Liberia,2020 Combined,87947
Liberia,2015 Males,64079
Liberia,2020 Males,50694
Liberia,2015 Females,48032
Liberia,2020 Females,37253
Libya,2015 Combined,771146
Libya,2020 Combined,826537
Libya,2015 Males,549153
Libya,2020 Males,593797
Libya,2015 Females,221993
Libya,2020 Females,232740
Liechtenstein,2015 Combined,23799
Liechtenstein,2020 Combined,25877
Liechtenstein,2015 Males,11605
Liechtenstein,2020 Males,12619
Liechtenstein,2015 Females,12194
Liechtenstein,2020 Females,13258
Lithuania,2015 Combined,136021
Lithuania,2020 Combined,145184
Lithuania,2015 Males,57508
Lithuania,2020 Males,73148
Lithuania,2015 Females,78513
Lithuania,2020 Females,72036
