"Country name","Year","Population","Population of children under the age of 1","Population of children under the age of 5","Population of children under the age of 15","Population under the age of 25","Population aged 15 to 64 years","Population at age 1","Population aged 1 to 4 years","Population aged 5 to 9 years","Population aged 10 to 14 years","Population aged 15 to 19 years","Population aged 20 to 29 years","Population aged 30 to 39 years","Population aged 40 to 49 years","Population aged 50 to 59 years","Population aged 60 to 69 years","Population aged 70 to 79 years","Population aged 80 to 89 years","Population aged 90 to 99 years","Population older than 100 years","population__all__15plus__records","population__all__18plus__records"
"Syria",2017,18983370,346838,2037840,7542447,11055464,10611014,357255,1691002,2837032,2667575,2150188,2377766,2302936,2004840,1322916,791101,360973,119510,10625,68,11440855,10060402
"Syria",2018,19333464,346680,1887973,7388855,11216439,11082875,347371,1541293,2745175,2755707,2296219,2562808,2305785,2064079,1381444,822441,379911,120559,11292,71,11944538,10485839
"Syria",2019,20098252,362843,1824959,7274855,11525597,11920138,352693,1462116,2610430,2839466,2465941,2942857,2392515,2160497,1460861,862648,403825,122270,11909,75,12823323,11282208
"Syria",2020,20772602,390363,1835971,7160124,11766650,12667078,367180,1445608,2440118,2884035,2595242,3313306,2453177,2243853,1540353,904338,425247,124372,12507,83,13612395,12014490
"Taiwan",2015,23512136,216564,1051573,3230511,6396903,17466452,215307,835009,988049,1190889,1529543,3326417,4032582,3625744,3520305,2346959,1246255,540602,108107,5112,20276514,19386932
"Taiwan",2016,23594476,213649,1071005,3179579,6295760,17472166,216843,857356,977773,1130801,1476751,3300774,4009027,3631378,3549479,2489681,1281794,558967,111686,5359,20409538,19560202
"Taiwan",2017,23665028,206715,1069823,3137987,6184143,17436766,213923,863108,986733,1081431,1412389,3283296,3955666,3655755,3573741,2630017,1317633,577802,115218,5524,20521518,19718168
"Taiwan",2018,23726186,197875,1052545,3101936,6061227,17367372,206982,854670,1007081,1042310,1341217,3267529,3880647,3695754,3592040,2763871,1358873,598984,119608,5727,20618524,19862080
"Taiwan",2019,23777742,190885,1028319,3070915,5930280,17270492,198133,837434,1030166,1012430,1268488,3246296,3793263,3747090,3601948,2886613,1410104,622371,124684,5970,20700858,19987410
"Taiwan",2020,23821468,187496,999142,3046146,5796412,17153524,191129,811646,1056274,990730,1199479,3212564,3702797,3805558,3601445,2994175,1475345,647645,130092,6221,20769100,20092076
"Tajikistan",2015,8524066,256974,1215321,3122195,4825319,5148759,249708,958347,1011280,895594,856166,1652701,1093805,787846,596037,254957,111978,44926,3436,19,5401852,4885306
"Tajikistan",2016,8725326,257967.02,1240244,3195772,4901345,5268234,255297,982277,1053506,902022,860589,1665397,1149753,800257,618688,277139,108738,45286,3687,20,5529534,5007063
"Tajikistan",2017,8925529,254171,1255783,3265906,4977971,5388368,256371,1001612,1095836,914287,869196,1668723,1211149,814493,638129,300893,107459,45621,3940,20,5659603,5131333
"Tajikistan",2018,9128131,253482,1265004,3336756,5057613,5508501,252681,1011522,1136138,935614,875261,1672624,1272755,831062,654505,326567,108374,46009,4197,21,5791354,5259609
"Tajikistan",2019,9337008,256428.02,1270463,3410476,5138824,5629902,252077,1014035,1173514,966499,881662,1675999,1333190,850520,668346,354227,111638,46458,4468,24,5926508,5394043
"Tajikistan",2020,9543211,256958,1270953,3482735,5218180,5751639,255086,1013995,1206636,1005146,889180,1679038,1392582,872902,679840,381138,115871,45392,4506,27,6060449,5524847
